pays,operator,offer_name,offer_type,volume_original_go,validite_jours,prix_original_eur,volume_mensuel_go,prix_mensuel_eur,cout_go_eur,source_url
Madagascar,YAS Madagascar,Fibre IN,fiber,100.00,30,9.80,100.00,9.80,0.098,https://www.yas.mg/particulier/internet-fixe/fibre/
Mauritius,MY.T Mauritius,10M DISCOVERY,fiber,60.00,30,9.98,60.00,9.98,0.166,https://www.myt.mu/home/internet-and-tv/broadbandonly
Mauritius,MY.T Mauritius,10M,fiber,300.00,30,15.98,300.00,15.98,0.053,https://www.myt.mu/home/internet-and-tv/broadbandonly
Madagascar,YAS Madagascar,Fibre Go,fiber,250.00,30,19.80,250.00,19.80,0.079,https://www.yas.mg/particulier/internet-fixe/fibre/
Mauritius,MY.T Mauritius,50Mbps,fiber,1000.00,30,22.00,1000.00,22.00,0.022,https://www.myt.mu/home/internet-and-tv/broadbandonly
Mauritius,MY.T Mauritius,100Mbps,fiber,2000.00,30,24.00,2000.00,24.00,0.012,https://www.myt.mu/home/internet-and-tv/broadbandonly
Madagascar,YAS Madagascar,Fibre Family,fiber,500.00,30,29.80,500.00,29.80,0.060,https://www.yas.mg/particulier/internet-fixe/fibre/
Mauritius,MY.T Mauritius,200Mbps,fiber,4000.00,30,34.00,4000.00,34.00,0.009,https://www.myt.mu/home/internet-and-tv/broadbandonly
Comores,YAS Comores,Yas Fibre 10Mbps Basic,fiber,200.00,30,38.62,200.00,38.62,0.193,https://www.yas.km/dagonet-fibre/
Comores,Yas Comores,Dagonet 10 Mbps,fiber,200.00,30,38.62,200.00,38.62,0.193,https://www.yas.km/dagonet/
Comores,Yas Comores,Dagonet Fibre,fiber,200.00,30,38.62,200.00,38.62,0.193,https://www.yas.km/dagonet/
Mauritius,MY.T Mauritius,300Mbps,fiber,6000.00,30,44.00,6000.00,44.00,0.007,https://www.myt.mu/home/internet-and-tv/broadbandonly
Madagascar,YAS Madagascar,Fibre Home,fiber,15000.00,30,49.80,15000.00,49.80,0.003,https://www.yas.mg/particulier/internet-fixe/fibre/
Comores,Yas Comores,Dagonet Fibre Classique,fiber,500.00,30,59.96,500.00,59.96,0.120,https://www.yas.km/dagonet/
Comores,YAS Comores,Yas Fibre 25 Mbps Classique,fiber,500.00,30,60.98,500.00,60.98,0.122,https://www.yas.km/dagonet-fibre/
Mauritius,MY.T Mauritius,500Mbps,fiber,10000.00,30,70.00,10000.00,70.00,0.007,https://www.myt.mu/home/internet-and-tv/broadbandonly
Mauritius,MY.T Mauritius,1Gbps,fiber,15000.00,30,94.00,15000.00,94.00,0.006,https://www.myt.mu/home/internet-and-tv/broadbandonly
Comores,YAS Comores,Yas Fibre 40 Mbps Confort,fiber,1000.00,30,142.29,1000.00,142.29,0.142,https://www.yas.km/dagonet-fibre/
Comores,Yas Comores,Dagonet Fibre Confort,fiber,1000.00,30,152.45,1000.00,152.45,0.152,https://www.yas.km/dagonet/
