pays,operator,offer_name,offer_type,volume_original_go,validite_jours,prix_original_eur,volume_mensuel_go,prix_mensuel_eur,cout_go_eur,source_url
Mauritius,MY.T Mauritius,3-MONTH,mobile,1024.00,90,16.30,341.33,5.43,0.016,https://www.myt.mu/mobile/prepaid-mobile-data
Mauritius,MY.T Mauritius,MONTHLY,mobile,200.00,30,6.30,200.00,6.30,0.032,https://www.myt.mu/mobile/prepaid-mobile-data
Senegal,YAS Senegal,Pass 12.5 Go,mobile,12.50,30,7.62,12.50,7.62,0.610,https://www.yas.sn/particulier/mobile-plans/internet/
Mauritius,MY.T Mauritius,WEEKLY,mobile,35.00,7,1.90,150.00,8.14,0.054,https://www.myt.mu/mobile/prepaid-mobile-data
Tanzania,YAS Tanzania,Data pack 24 GB,mobile,24.00,60,16.67,12.00,8.33,0.695,https://yas.co.tz/consumer/mobile-plans/internet/
Mauritius,MY.T Mauritius,WEEKEND,mobile,20.00,2,0.56,300.00,8.40,0.028,https://www.myt.mu/mobile/prepaid-mobile-data
Comores,YAS Comores,Net 5000,mobile,10.00,30,10.16,10.00,10.16,1.016,https://www.yas.km/particulier/mobile-plans/internet/
Comores,Comores Telecom,Data classique,mobile,10.00,30,10.16,10.00,10.16,1.016,https://www.comorestelecom.km/portail/offres/mobile/15/
Tanzania,YAS Tanzania,Data pack 16 GB,mobile,16.00,30,11.67,16.00,11.67,0.729,https://yas.co.tz/consumer/mobile-plans/internet/
Madagascar,YAS Madagascar,Net Month 75000,mobile,15.00,30,15.00,15.00,15.00,1.000,https://www.yas.mg/particulier/forfaits-mobiles/internet/
Senegal,YAS Senegal,Pass 40 Go,mobile,40.00,30,15.24,40.00,15.24,0.381,https://www.yas.sn/particulier/mobile-plans/internet/
Comores,YAS Comores,Net 10 000,mobile,20.00,30,20.33,20.00,20.33,1.017,https://www.yas.km/particulier/mobile-plans/internet/
Comores,Comores Telecom,HURI INTENSE,mobile,20.00,30,20.33,20.00,20.33,1.017,https://www.comorestelecom.km/portail/offres/mobile/15/
Senegal,YAS Senegal,Pass 65 Go,mobile,65.00,30,22.87,65.00,22.87,0.352,https://www.yas.sn/particulier/mobile-plans/internet/
Madagascar,YAS Madagascar,Net Month 125000,mobile,29.00,30,25.00,29.00,25.00,0.862,https://www.yas.mg/particulier/forfaits-mobiles/internet/
Comores,YAS Comores,Net 15 000,mobile,30.00,30,30.49,30.00,30.49,1.016,https://www.yas.km/particulier/mobile-plans/internet/
Madagascar,YAS Madagascar,Net Month 175000,mobile,58.00,30,35.00,58.00,35.00,0.603,https://www.yas.mg/particulier/forfaits-mobiles/internet/
Madagascar,YAS Madagascar,Net Month 200000,mobile,100.00,30,40.00,100.00,40.00,0.400,https://www.yas.mg/particulier/forfaits-mobiles/internet/
Comores,YAS Comores,Net 25 000,mobile,50.00,30,50.82,50.00,50.82,1.016,https://www.yas.km/particulier/mobile-plans/internet/
Comores,Comores Telecom,HURI INTENSE,mobile,70.00,30,71.14,70.00,71.14,1.016,https://www.comorestelecom.km/portail/offres/mobile/15/
